time,lat,lon,depth,east_shift,north_shift,distance_border,semblance,azimuthal_coverage,n_stations,n_picks,uncertainty_horizontal,uncertainty_vertical,WKT_geom
2024-06-01 07:54:02.950000+00:00,50.009717,12.104455,762.7,-17546.75,-23353.56,19281.25,0.16160736978054047,0.0,26,2,475.98581911649427,1750.0,POINT Z(12.10445464746709 50.0097168286303 -762.6952731023462)
2024-06-01 07:58:14.180000+00:00,49.824024,12.146431,5326.13,-14603.3,-44010.66,5968.75,0.19037069380283356,25.187898700019673,26,3,1069.8276730389807,5000.0,POINT Z(12.146431392935225 49.82402368461083 -5326.128602830454)
2024-06-01 08:14:07.590000+00:00,49.951169,12.089308,1999.98,-18651.83,-29860.12,17968.75,0.1779770702123642,56.309555416222736,26,2,250.0,1312.5,POINT Z(12.089308106460567 49.95116861635277 -1999.980916014941)
2024-06-01 08:28:01.210000+00:00,49.810412,12.245756,1893.17,-7480.22,-45538.89,4468.75,0.27695608139038086,44.529629684027555,26,4,288.11076429040276,3875.0,POINT Z(12.245755960067303 49.81041195084826 -1893.1676607049694)
2024-06-01 08:30:09.920000+00:00,49.869954,12.147383,790.01,-14521.2,-38903.62,11093.75,0.20177386701107025,0.0,26,2,197.64235376052372,3375.0,POINT Z(12.147383061463108 49.86995417136219 -790.0068673174895)
2024-06-01 08:48:10.500000+00:00,49.853187,12.216225,424.72,-9590.73,-40779.15,9218.75,0.25249403715133667,77.31283606808489,26,5,395.28470752104744,2937.5,POINT Z(12.216225332471213 49.85318706727612 -424.72219496809527)
2024-06-01 09:18:15.730000+00:00,49.793977,11.904887,9199.62,-31950.55,-47276.41,2718.75,0.19421477615833282,37.78184898792057,26,3,1736.8366539487818,5468.75,POINT Z(11.904887091922658 49.7939770938445 -9199.615369834955)
2024-06-01 09:58:56.160000+00:00,50.180919,12.470108,10472.27,8552.37,-4338.7,9531.25,0.27564653754234314,179.53305310643603,26,10,1007.7822185373187,1718.75,POINT Z(12.470108469471496 50.18091923573404 -10472.27327010595)
2024-06-01 10:01:07.430000+00:00,49.825836,12.166784,2055.86,-13142.8,-43812.96,6156.25,0.24229657649993896,3.3924753335276137,26,4,773.0823048033113,6500.0,POINT Z(12.166783727823951 49.82583562443398 -2055.860160980046)
2024-06-01 10:07:03.900000+00:00,49.850117,12.11094,4627.79,-17140.02,-41101.7,8906.25,0.1416734904050827,54.83629221370455,26,3,632.7642728536433,2968.75,POINT Z(12.11094040385896 49.85011686673624 -4627.793736596878)
2024-06-01 10:11:38.930000+00:00,49.821958,12.186839,362.59,-11705.13,-44247.48,5781.25,0.2772451639175415,54.427334290539534,26,4,573.6737422089318,3062.5,POINT Z(12.186838666277062 49.821957844346386 -362.5861851726924)
